taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Balengaeng,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,378,0.2,0.011,2722.96,2022,19,8,1,1,26.2,1726.94,73.76,0,9.0,3.0,7.454685226538948
Company,City of Mati,Davao Oriental,Davao Del Sur,Kiblawan,Bagumbayan,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1943,0.5,0.0166,186353.29,2024,16,8,3,1,54.9,141049.31,28.69,1,6.0,2.0,11.856871914229925
Company,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Langgawisan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3382,0.4,0.0111,17292.79,2022,11,8,2,0,15.7,7566.52,72.12,0,9.0,3.0,8.931620683773122
Individual,Sarangani,Davao Occidental,Davao Oriental,Caraga,Alvar,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,178,0.5,0.0148,26367.95,2024,9,8,1,1,32.2,16525.89,63.82,0,3.0,1.0,9.712744030343279
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Padada,N C Ordaneza District (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,270,0.2,0.0138,5072.27,2022,19,8,1,0,13.3,1496.93,91.67,0,9.0,3.0,7.31183943401337
Company,City of Davao,Davao Del Sur,Davao Del Sur,Padada,Piape,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,290,0.2,0.0129,4905.13,2021,10,8,5,1,89.3,4096.73,5.0,1,6.0,2.0,8.31818844083033
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mudiang,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,130,0.2,0.0126,3188.47,2024,5,4,1,1,39.8,2040.52,53.65,0,6.0,2.0,7.621449907429742
Individual,Santa Maria,Davao Occidental,Davao Del Norte,City of Tagum,San Isidro,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 12B,83,0.25,0.0151,5021.88,2021,15,8,1,0,21.0,746.43,95.41,0,,,6.616640655394879
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bato,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,177,0.2,0.0127,2737.83,2021,10,8,1,1,29.4,1512.93,68.98,0,9.0,3.0,7.322464197789812
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Pagsabangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,225,0.2,0.0112,3449.33,2023,17,8,2,1,39.3,2144.75,55.46,0,12.0,4.0,7.671244420598329
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Padada,Tulogan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,117,0.45,0.0144,6307.95,2023,12,8,1,1,33.9,2797.51,66.97,0,9.0,3.0,7.936842411667892
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Limao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,530,0.5,0.0174,63044.38,2024,5,5,2,1,40.6,44436.1,60.01,1,3.0,1.0,10.701829985098614
Company,Hagonoy,Davao Del Sur,Davao Del Norte,City of Panabo,  San Vicente ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,968,0.4,0.0127,11580.31,2022,3,2,1,1,51.0,7373.76,40.0,1,6.0,2.0,8.905818638305625
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lumiad,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1757,0.4,0.0109,15507.67,2024,8,8,3,1,46.1,10838.0,30.25,1,12.0,4.0,9.29090601981575
Individual,City of Davao,Davao Del Sur,Davao Occidental,Don Marcelino,Baluntaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,260,0.2,0.0144,5024.57,2023,6,6,3,2,78.8,4869.66,5.0,1,6.0,2.0,8.490984730508103
Company,City of Mati,Davao Oriental,Davao Del Norte,City of Panabo,Nanyo,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,571,0.5,0.0168,110585.79,2022,19,8,2,1,42.0,73578.82,64.97,0,3.0,1.0,11.206126082338839
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Tagakpan,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,546,0.2,0.0112,2682.28,2024,11,8,3,1,42.1,1838.05,36.39,1,3.0,1.0,7.51700441292422
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lizada,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3039,0.4,0.0128,40048.26,2021,18,8,3,1,62.3,28580.33,50.13,0,9.0,3.0,10.260508986440279
Company,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Malagos,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,268,0.2,0.0114,3868.49,2023,6,5,1,1,39.9,1616.97,45.98,0,3.0,1.0,7.3889275560373955
Company,City of Davao,Davao Del Sur,Davao Del Norte,Carmen,Guadalupe,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,371,0.5,0.0133,35996.16,2021,8,8,2,0,14.0,7845.33,75.18,0,12.0,4.0,8.967801185533244
Individual,Caraga,Davao Oriental,Davao Oriental,Baganga,Mahanub,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,234,0.2,0.0117,3809.88,2024,12,8,1,1,31.4,1795.86,72.81,0,12.0,4.0,7.493795976124785
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Santo Tomas,Esperanza,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,95,0.2,0.0121,1499.66,2022,2,3,1,0,21.6,501.3,81.95,0,3.0,1.0,6.219197550755999
Company,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Magdug,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,296,0.2,0.0115,4002.1,2024,18,8,2,1,41.5,2221.87,70.84,0,12.0,4.0,7.706554432722038
Individual,Sulop,Davao Del Sur,Davao De Oro,Nabunturan,Bukal,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,97,0.2,0.0137,1045.61,2024,5,4,1,0,23.1,211.29,88.12,0,3.0,1.0,5.3579532644439105
Individual,Don Marcelino,Davao Occidental,Davao Del Sur,City of Digos,Aplaya,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,566,0.4,0.0129,6899.96,2024,21,8,5,2,98.0,9162.81,5.0,1,6.0,2.0,9.123017310054214
Individual,Baganga,Davao Oriental,Davao Del Sur,Kiblawan,San Pedro,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,281,0.2,0.013,2694.34,2023,9,8,1,1,29.0,1458.53,76.79,0,3.0,1.0,7.285869745067503
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 22-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,118,0.2,0.0131,3000.55,2021,13,8,1,0,19.1,309.17,82.24,0,9.0,3.0,5.737120534266712
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Pandaitan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,250,0.2,0.013,4609.02,2022,2,3,1,0,21.8,1274.72,73.43,0,3.0,1.0,7.151266004088514
Individual,Cateel,Davao Oriental,Davao Oriental,Baganga,Central (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1203,0.4,0.0104,10051.99,2021,8,8,2,1,51.9,5713.55,47.81,0,3.0,1.0,8.650770832971261
Individual,City of Davao,Davao Del Sur,Davao Oriental,Cateel,San Rafael,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14D,46,0.25,0.015,2127.6,2024,12,8,3,1,47.2,1491.48,40.66,0,9.0,3.0,7.308194444841964
Company,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Crispin Dela Cruz,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,192,0.45,0.0164,11796.21,2022,2,1,1,0,43.2,1863.99,44.0,1,12.0,4.0,7.531010970133246
Individual,Nabunturan,Davao De Oro,Davao Oriental,Baganga,Bobonao,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,312,0.2,0.0127,1774.32,2024,13,8,1,1,28.6,947.81,63.44,0,6.0,2.0,6.855208567816924
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mapula,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,313,0.2,0.0108,4295.46,2021,13,8,2,1,58.3,2314.12,40.75,0,9.0,3.0,7.747216801030035
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Ma-a,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 22A,107,0.25,0.0136,5808.92,2023,10,8,3,1,40.2,4190.01,30.3,1,,,8.340697033987603
Company,City of Davao,Davao Del Sur,Davao De Oro,Compostela,Aurora,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,362,0.5,0.0182,47187.86,2021,15,8,1,1,31.1,27642.65,69.94,0,6.0,2.0,10.227151324155876
Company,City of Mati,Davao Oriental,Davao Del Sur,Matanao,  Camanchiles ,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 20D,93,0.25,0.012,4243.35,2022,9,8,3,0,35.7,2197.72,41.1,0,12.0,4.0,7.695630651842711
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Ubalde,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,581,0.4,0.0115,5671.22,2021,2,2,0,0,0.0,1116.57,86.65,0,3.0,1.0,7.0189119643469615
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Talandang,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,597,0.2,0.012,6614.92,2022,15,8,5,2,90.0,8520.69,5.0,1,12.0,4.0,9.050369956960763
Individual,Hagonoy,Davao Del Sur,Davao Del Sur,Hagonoy,Lanuro,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,253,0.2,0.0108,2507.48,2023,19,8,3,1,55.4,1669.67,39.29,0,3.0,1.0,7.420980022557352
